NodeKey,Value,DataType,Size,Quality,SourceTimeStamp,ServerTimeStamp,NodeKey:1,NodeId
5,771732,3,1,192,2024-03-19 13:30:23.485,2024-03-19 13:30:23.485,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:30:22.474,2024-03-19 13:30:22.474,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:30:20.485,2024-03-19 13:30:20.485,5,Device1.ServoMonitor_CYCCNT1:OR
5,771734,3,1,192,2024-03-19 13:30:19.471,2024-03-19 13:30:19.471,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:30:18.468,2024-03-19 13:30:18.468,5,Device1.ServoMonitor_CYCCNT1:OR
5,771734,3,1,192,2024-03-19 13:30:17.479,2024-03-19 13:30:17.479,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:30:16.498,2024-03-19 13:30:16.498,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:30:14.490,2024-03-19 13:30:14.490,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:30:13.487,2024-03-19 13:30:13.487,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:30:12.483,2024-03-19 13:30:12.483,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:30:08.481,2024-03-19 13:30:08.481,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:30:07.477,2024-03-19 13:30:07.477,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:30:04.468,2024-03-19 13:30:04.468,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:30:03.473,2024-03-19 13:30:03.473,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:30:02.484,2024-03-19 13:30:02.484,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:29:59.473,2024-03-19 13:29:59.473,5,Device1.ServoMonitor_CYCCNT1:OR
5,771734,3,1,192,2024-03-19 13:29:58.475,2024-03-19 13:29:58.475,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:29:55.506,2024-03-19 13:29:55.506,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:29:54.498,2024-03-19 13:29:54.498,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:29:53.469,2024-03-19 13:29:53.469,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:29:52.466,2024-03-19 13:29:52.466,5,Device1.ServoMonitor_CYCCNT1:OR
5,771734,3,1,192,2024-03-19 13:29:51.466,2024-03-19 13:29:51.466,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:29:50.466,2024-03-19 13:29:50.466,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:29:48.466,2024-03-19 13:29:48.466,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:29:47.466,2024-03-19 13:29:47.466,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:29:46.466,2024-03-19 13:29:46.466,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:29:44.467,2024-03-19 13:29:44.467,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:29:43.451,2024-03-19 13:29:43.451,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:29:41.467,2024-03-19 13:29:41.467,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:29:40.451,2024-03-19 13:29:40.451,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:29:39.483,2024-03-19 13:29:39.483,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:29:37.483,2024-03-19 13:29:37.483,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:29:36.465,2024-03-19 13:29:36.465,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:29:35.465,2024-03-19 13:29:35.465,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:29:34.471,2024-03-19 13:29:34.471,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:29:33.472,2024-03-19 13:29:33.472,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:29:32.472,2024-03-19 13:29:32.472,5,Device1.ServoMonitor_CYCCNT1:OR
5,771734,3,1,192,2024-03-19 13:29:31.449,2024-03-19 13:29:31.449,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:29:30.465,2024-03-19 13:29:30.465,5,Device1.ServoMonitor_CYCCNT1:OR
5,771734,3,1,192,2024-03-19 13:29:29.465,2024-03-19 13:29:29.465,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:29:27.465,2024-03-19 13:29:27.465,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:29:26.450,2024-03-19 13:29:26.450,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:29:25.466,2024-03-19 13:29:25.466,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:29:24.481,2024-03-19 13:29:24.481,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:29:22.466,2024-03-19 13:29:22.466,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:29:21.482,2024-03-19 13:29:21.482,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:29:20.466,2024-03-19 13:29:20.466,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:29:18.477,2024-03-19 13:29:18.477,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:29:17.477,2024-03-19 13:29:17.477,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:29:15.454,2024-03-19 13:29:15.454,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:29:14.481,2024-03-19 13:29:14.481,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:29:12.467,2024-03-19 13:29:12.467,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:29:11.482,2024-03-19 13:29:11.482,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:29:10.477,2024-03-19 13:29:10.477,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:29:09.477,2024-03-19 13:29:09.477,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:29:08.477,2024-03-19 13:29:08.477,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:29:06.470,2024-03-19 13:29:06.470,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:29:05.486,2024-03-19 13:29:05.486,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:29:04.471,2024-03-19 13:29:04.471,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:29:03.463,2024-03-19 13:29:03.463,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:29:02.463,2024-03-19 13:29:02.463,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:29:00.464,2024-03-19 13:29:00.464,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:28:59.448,2024-03-19 13:28:59.448,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:28:58.470,2024-03-19 13:28:58.470,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:28:57.486,2024-03-19 13:28:57.486,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:28:56.455,2024-03-19 13:28:56.455,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:28:53.469,2024-03-19 13:28:53.469,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:28:52.469,2024-03-19 13:28:52.469,5,Device1.ServoMonitor_CYCCNT1:OR
5,771729,3,1,192,2024-03-19 13:28:50.480,2024-03-19 13:28:50.480,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:28:45.470,2024-03-19 13:28:45.470,5,Device1.ServoMonitor_CYCCNT1:OR
5,771731,3,1,192,2024-03-19 13:28:44.486,2024-03-19 13:28:44.486,5,Device1.ServoMonitor_CYCCNT1:OR
5,771734,3,1,192,2024-03-19 13:28:43.470,2024-03-19 13:28:43.470,5,Device1.ServoMonitor_CYCCNT1:OR
5,771732,3,1,192,2024-03-19 13:28:42.494,2024-03-19 13:28:42.494,5,Device1.ServoMonitor_CYCCNT1:OR
5,771728,3,1,192,2024-03-19 13:28:40.478,2024-03-19 13:28:40.478,5,Device1.ServoMonitor_CYCCNT1:OR
